山田 哲人,ヤクルト,0.324,143,685,596,193,29,89,15,74,8,95,2,10,0.539,0.403,0.941,8.08,7.81
今宮 健太,ソフトバンク,0.24,144,662,551,132,3,42,10,41,4,104,62,10,0.307,0.295,0.602,2.82,2.82
菊池 涼介,広島,0.325,144,654,579,188,11,58,23,24,3,79,43,9,0.456,0.352,0.808,5.46,5.22
鳥谷 敬,阪神,0.313,144,644,550,172,8,73,10,87,2,80,1,14,0.415,0.406,0.82,6.39,6.18
丸 佳浩,広島,0.31,144,644,536,166,19,67,26,100,4,95,0,12,0.491,0.419,0.91,7.66,7.44
大島 洋平,中日,0.318,141,642,585,186,2,28,28,43,6,56,6,3,0.366,0.369,0.735,5.4,5.2
栗山 巧,西武,0.288,144,642,532,153,3,61,3,96,3,100,2,9,0.383,0.394,0.777,5.96,5.89
中村 晃,ソフトバンク,0.308,143,638,571,176,4,61,10,59,3,61,3,4,0.382,0.375,0.757,5.83,5.6
川端 慎吾,ヤクルト,0.305,142,637,580,177,10,69,2,43,3,62,8,10,0.421,0.355,0.775,5.44,5.23
西川 遥輝,日本ハム,0.265,143,637,555,147,8,57,43,63,3,139,16,1,0.389,0.343,0.732,5.16,5.03
李 大浩,ソフトバンク,0.3,144,625,566,170,19,68,0,46,10,97,0,18,0.454,0.362,0.816,5.64,5.5
岡島 豪郎,楽天,0.283,142,618,545,154,7,53,9,57,4,71,9,7,0.382,0.353,0.735,4.81,4.71
ゴメス,阪神,0.283,143,616,537,152,26,109,1,67,8,166,0,17,0.492,0.369,0.86,6.26,6.19
坂本 勇人,巨人,0.279,144,616,545,152,16,61,23,55,2,88,9,3,0.42,0.344,0.764,5.54,5.48
柳田 悠岐,ソフトバンク,0.317,144,615,524,166,15,70,33,72,16,131,0,8,0.452,0.413,0.865,7.55,7.31
鈴木 大地,ロッテ,0.287,144,610,533,153,3,43,7,45,6,57,22,1,0.385,0.347,0.732,5.13,4.97
梶谷 隆幸,DeNA,0.263,142,609,525,138,16,72,39,70,7,135,3,12,0.438,0.355,0.793,5.68,5.61
中田 翔,日本ハム,0.269,144,602,531,143,27,100,0,58,6,89,0,12,0.456,0.344,0.8,5.53,5.63
安達 了一,オリックス,0.259,143,601,486,126,8,50,29,58,8,79,45,8,0.356,0.345,0.701,4.26,4.29
上本 博紀,阪神,0.276,131,600,515,142,7,38,20,70,6,97,7,7,0.39,0.368,0.758,5.31,5.19
雄平,ヤクルト,0.316,141,597,547,173,23,90,10,48,1,103,1,11,0.505,0.372,0.877,6.91,6.63
ヘルマン,オリックス,0.25,141,595,532,133,7,52,30,54,4,95,2,17,0.346,0.322,0.668,3.57,3.58
マートン,阪神,0.338,142,591,532,180,14,84,2,46,7,64,0,19,0.477,0.394,0.872,6.59,6.33
糸井 嘉男,オリックス,0.331,140,590,502,166,19,81,31,70,14,73,0,7,0.524,0.424,0.948,8.62,8.23
森野 将彦,中日,0.288,141,588,507,146,13,86,3,69,1,66,5,20,0.432,0.37,0.802,5.53,5.43
ジョーンズ,楽天,0.221,138,581,448,99,24,71,2,118,12,140,0,16,0.426,0.394,0.82,5.86,5.99
藤田 一也,楽天,0.269,144,579,517,139,2,36,3,16,3,55,41,12,0.317,0.294,0.611,2.8,2.75
村田 修一,巨人,0.256,143,575,519,133,21,68,2,39,13,83,0,22,0.41,0.322,0.732,4.17,4.25
ペーニャ,オリックス,0.255,140,572,502,128,32,90,2,59,10,124,0,15,0.486,0.344,0.83,5.68,5.67
