#
# S町の1Rマンションの賃貸情報
#
# 家賃(万円), 駅からの徒歩時間 (分), 専有面積 (m*m), 築年数 (年), 階数, 向き [ N / NE / E / SE / S / SW / W / NW ]
#
7.1, 10, 22.34, 6, 2, E
8, 10, 38.29, 45, 4, SE
4.5, 26, 18.23, 24, 2, W
4.75, 7, 15, 24, 3, SW
7.3, 15, 20.13, 14, 8, S
8.6, 22, 36.54, 9, 2, E
6.3, 11, 20.1, 30, 7, SE
9.6, 10, 30.03, 0, 5, SW
9, 10, 30.03, 0, 2, SE
9, 10, 30.03, 0, 2, SE
8.4, 16, 30.91, 9, 9, SE
9.2, 12, 30.03, 0, 2, SE
9.2, 12, 30.03, 0, 2, SE
9.2, 12, 30.03, 0, 2, SE
9.2, 12, 30.03, 0, 2, SE
8.8, 10, 30.03, 0, 1, W
5.05, 7, 15, 24, 10, E
5.05, 7, 15, 24, 10, E
5.05, 7, 15, 24, 10, E
5.05, 7, 15, 24, 10, E
6, 15, 29.48, 24, 4, NW
9.7, 3, 36.94, 11, 5, NW
9.22, 10, 30.03, 0, 2, SE
4.7, 9, 14.62, 28, 5, E
6.6, 5, 22.26, 22, 5, E
5.9, 8, 21.56, 23, 4, NE
5.9, 8, 21.56, 23, 4, NE
4.7, 9, 14.62, 28, 5, NE
12.3, 8, 40.12, 9, 7, SE
4.5, 20, 16.25, 23, 3, SW
9.2, 10, 30.03, 0, 4, SE
6.9, 7, 22.83, 25, 4, SW
5.8, 2, 17.24, 29, 9, E
6.1, 5, 20.43, 22, 3, SE
9.6, 35, 35.39, 6, 2, SW
9.6, 10, 30.03, 0, 5, SE
9.5, 6, 31.1, 7, 8, SW
7.8, 15, 23.37, 5, 10, NW
6.3, 7, 24.39, 25, 7, SE
4.7, 1, 16.35, 21, 4, SE
9.4, 12, 30.03, 0, 4, SE
9.4, 10, 30.03, 0, 4, SE
9.3, 10, 30.03, 0, 3, SE
9.3, 10, 30.03, 0, 3, SE
9.3, 10, 30.03, 0, 3, SE
9.3, 10, 30.03, 0, 3, SE
9.3, 10, 30.03, 0, 3, SE
9.3, 10, 30.03, 0, 3, SE
9.3, 10, 30.03, 0, 3, SE
9.3, 10, 30.03, 0, 3, SE
9.3, 10, 30.03, 0, 3, SE
9.3, 10, 30.03, 0, 3, SE
5.8, 1, 17.16, 29, 9, E
4.85, 7, 15, 24, 8, E
4.85, 7, 15, 24, 8, E
4.85, 7, 15, 24, 8, E
4.85, 7, 15, 24, 8, E
4.85, 7, 15, 24, 8, E
6.4, 9, 28.3, 28, 6, E
7.3, 15, 20.13, 14, 8, SE
7.8, 5, 25.03, 6, 2, SW
7.8, 5, 25.03, 6, 2, SW
7.2, 25, 25.33, 23, 3, SE
7.67, 7, 30, 24, 9, E
7.67, 7, 30, 24, 9, E
7.67, 7, 30, 24, 9, E
6.5, 7, 24.39, 25, 7, SE
4.75, 7, 15, 24, 3, W
7.5, 25, 22.82, 23, 4, SE
7.5, 25, 22.82, 23, 4, SE
5.3, 7, 18.07, 25, 06, SE
9, 11, 31.8, 12, 3, SE
7.3, 12, 23.09, 12, 3, S
5.5, 1, 17.59, 29, 8, S
9.2, 10, 30.03, 0, 2, SW
9.2, 10, 30.03, 0, 2, SW
6.3, 8, 21.56, 23, 2, N
8.8, 10, 30.03, 0, 1, SE
9.2, 10, 30.03, 0, 2, SE
9.2, 10, 30.03, 0, 2, SE
9.2, 10, 30.03, 0, 2, SE
9.2, 10, 30.03, 0, 2, SE
9.2, 10, 30.03, 0, 2, SE
9.2, 10, 30.03, 0, 2, SE
9.2, 10, 30.03, 0, 2, SE
9.2, 10, 30.03, 0, 2, SE
9.2, 10, 30.03, 0, 2, SE
9.2, 10, 30.03, 0, 2, SE
9.2, 10, 30.03, 0, 2, SE
9.2, 10, 30.03, 0, 2, SE
9.2, 10, 30.03, 0, 2, SE
9.2, 10, 30.03, 0, 2, SE
9.2, 10, 30.03, 0, 2, SE
7.7, 10, 21.02, 5, 1, E
7.2, 10, 18.75, 5, 1, SW
7.2, 10, 18.75, 5, 1, SW
7.2, 10, 18.75, 5, 1, SW
7.7, 10, 18.75, 5, 1, W
4.75, 7, 15, 24, 3, E
4.75, 7, 15, 24, 3, E
4.75, 7, 15, 24, 3, E
4.75, 7, 15, 24, 3, E
4.75, 7, 15, 24, 3, E
5.6, 20, 21.14, 7, 3, SW
12, 10, 40.12, 9, 7, SE
10.6, 3, 37.18, 11, 9, NW
4.95, 7, 15, 24, 10, E
4.85, 7, 15, 24, 10, E
4.85, 7, 15, 24, 10, E
4.85, 7, 15, 24, 10, E
5.05, 7, 15, 24, 10, SW
9.5, 5, 30, 13, 8, NE
7.7, 10, 18.75, 5, 1, SW
9.3, 12, 30.03, 0, 3, SE
9.3, 12, 30.03, 0, 3, SE
9.3, 12, 30.03, 0, 3, SE
9.3, 12, 30.03, 0, 3, SE
9.3, 12, 30.03, 0, 3, SE
4.7, 10, 14.62, 28, 5, E
9, 10, 30.03, 0, 1, S
9, 10, 30.03, 0, 1, S
8.2, 10, 23.56, 6, 3, E
